snr_db,sigma_step_hz,trial_index,trajectory_seed,noise_seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,max_abs_frequency_hz,frequency_rms_hz,frequency_peak_to_peak_hz,max_abs_phase_rad,phase_rms_rad,phase_peak_to_peak_rad,final_phase_rad,fitted_constant_hz,fitted_linear_coefficient,runtime_seconds
-30.5,0.02,81,2026200581,2026110681,0,,,,,0.11714139511079873,0.04594874938298725,0.21245976115742304,7.122466050883317,3.4543870487740516,11.696504256036144,-6.189666834632845e-14,-0.16629850252735442,-0.21382478559068233,0.4425277259997529
-30.5,0.02,86,2026200586,2026110686,1,K1ABC FN42 33,-30,0,10.140200,0.11990167260906491,0.0508275110083983,0.21631748864377143,6.70010116175294,3.2569321991684212,10.797959344295752,6.606185867438774e-13,0.11411342921719034,0.03618442886597763,0.25569884200012893
-30.5,0.02,84,2026200584,2026110684,1,K1ABC FN42 33,-31,0,10.140200,0.12206747933021608,0.04995409097584017,0.23864816992288285,5.052825366175351,2.4245844315645346,9.390019252152456,6.06814945514067e-13,0.15011791852464804,0.1646398339715653,0.4143378399985522
-30.5,0.02,88,2026200588,2026110688,1,K1ABC FN42 33,-30,0,10.140200,0.15008888767502612,0.05716953031083126,0.27371104218372416,6.551860947882471,3.5392603598212715,12.902393973883665,1.676518624448009e-13,-0.14717994873608795,-0.10869023789048832,0.1252823350005201
-30.5,0.02,87,2026200587,2026110687,1,K1ABC FN42 33,-30,0,10.140200,0.24614277954599678,0.10219347316109684,0.43970164382712235,16.08755275608089,8.727551612105328,28.110810488307294,-5.287437154777308e-14,-0.0515847902387538,-0.04538954456286985,0.24991740500081505
-30.5,0.02,85,2026200585,2026110685,0,,,,,0.1481359496488209,0.06961413089512583,0.2822816544807125,10.029885240324779,5.922640260541028,20.004235948927473,3.436183629301759e-14,0.15416460532979515,0.11747340109889205,0.5426792950001982
-30.5,0.02,91,2026200591,2026110691,1,K1ABC FN42 33,-30,0,10.140200,0.1077024877987956,0.04407334641751829,0.2037715790646081,4.084601562266284,2.1471676174033494,8.011941706700014,-6.977925182116707e-16,0.05937221578160654,-0.024844890815220358,0.27560052600165363
-30.5,0.02,92,2026200592,2026110692,1,K1ABC FN42 33,-31,0,10.140200,0.13658210015069203,0.06605299710066598,0.2685887249853114,7.77622802113583,4.471345290618229,14.022802043266708,8.769133422875663e-13,0.030650693059119872,0.05622773658417191,0.3039262590009457
-30.5,0.02,89,2026200589,2026110689,0,,,,,0.26478779466517244,0.08305536084591152,0.43975922058968253,11.686176094018315,6.026567074590579,20.03779093317554,5.607320163747431e-13,0.18122555322813413,-0.04942559306081977,0.5431422530000418
-30.5,0.02,90,2026200590,2026110690,0,,,,,0.1541043184346288,0.06560642648594421,0.30705494096748076,11.205510251717808,5.639278435762025,18.217242868011468,1.9701514725189995e-13,0.17100107710578402,0.09325499564957938,0.5596063580014743
-30.5,0.02,94,2026200594,2026110694,1,K1ABC FN42 33,-30,0,10.140200,0.1309948768563109,0.06123002304615356,0.25057263402430263,8.047262289579054,4.259669913729239,15.099070111491436,-4.640686164340824e-13,0.0992243545926963,0.12332598162176599,0.27612182600023516
-30.5,0.02,93,2026200593,2026110693,1,K1ABC FN42 33,-30,0,10.140200,0.08502468968180513,0.03692304238666265,0.1696617579191025,4.54910907870707,2.162779367741214,8.071311431221204,-3.7276621676560207e-13,-0.06812592529186598,-0.011672733610273914,0.41056170299998485
