message,callsign,grid,power,condition,snr_db,linear_drift_hz,quadratic_residual_hz,trial_index,noise_seed,decoded_success,decoded_message,reported_snr,reported_drift,runtime_seconds
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,10,2026122010,1,K1ABC FN42 33,-30,0,0.07441679500001896
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,9,2026122009,1,K1ABC FN42 33,-30,0,0.24048418699999274
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,7,2026122007,0,,,,0.5514810509999961
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,8,2026122008,0,,,,0.5363088059999939
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,11,2026122011,0,,,,0.5187944660000028
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,13,2026122013,1,K1ABC FN42 33,-32,0,0.29677028300000075
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,12,2026122012,0,,,,0.5235195550000071
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,14,2026122014,0,,,,0.5277278140000021
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,15,2026122015,0,,,,0.5158830960000103
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,16,2026122016,0,,,,0.4301592299999868
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,17,2026122017,0,,,,0.41741957000002117
