replicate,bDA,status,iterations,error
686,6.643643910619139,success,4,
687,8.052842464103492,success,4,
688,7.596428228182325,success,4,
689,7.822418183715082,success,5,
690,6.941537258863074,success,4,
691,8.002744424663522,success,4,
692,7.253677343248831,success,4,
693,7.170951878552021,success,4,
694,7.591799286855396,success,4,
695,7.131935459246758,success,4,
696,7.39151811693642,success,4,
697,8.091486393562732,success,4,
698,7.875224641285056,success,4,
699,7.68157721243203,success,4,
700,8.642606693253665,success,4,
701,8.085311381359903,success,4,
702,8.384526738037406,success,5,
703,7.700577714450623,success,4,
704,7.286702617717209,success,4,
705,8.909126560590888,success,5,
706,7.0435498247701975,success,4,
707,8.042011246836319,success,4,
708,8.59914274662789,success,4,
709,7.160066589250108,success,4,
710,7.846842983375649,success,4,
711,8.258664089547425,success,4,
712,7.602345428116993,success,4,
713,7.617518559207241,success,4,
714,7.201040314750132,success,4,
715,7.176829317304858,success,4,
716,7.652458779253222,success,5,
717,6.916715872292876,success,4,
718,8.337051870645357,success,5,
719,7.4558809183675425,success,4,
720,7.360327348042288,success,4,
721,7.408173329831767,success,4,
722,8.151745678154482,success,4,
723,7.780420434682574,success,4,
724,8.049353164873642,success,5,
725,7.406413451160616,success,4,
726,6.444895338270444,success,5,
727,7.979609263184955,success,4,
728,7.519533051138264,success,4,
729,7.706696397203559,success,4,
730,6.750117288319899,success,4,
731,8.047292481275667,success,4,
732,7.018974555085482,success,5,
733,7.599956232301105,success,5,
734,7.225407564256172,success,4,
735,6.8179748906983475,success,4,
736,6.139603738895077,success,5,
737,8.402007590689953,success,5,
738,7.772311987191878,success,4,
739,7.500313450554519,success,4,
740,7.761255205302662,success,4,
741,7.100300380005433,success,4,
742,6.384667305281033,success,4,
743,7.372301931908177,success,4,
744,7.571089569062238,success,4,
745,6.711374961684208,success,4,
746,7.918229673461148,success,4,
747,6.743773807920525,success,4,
748,7.170326193012211,success,4,
749,8.010115389295237,success,4,
750,7.351544137287299,success,5,
751,8.014441043870098,success,4,
752,6.851050905109857,success,4,
753,7.802587195852367,success,5,
754,7.326939374577456,success,4,
755,7.501603836380399,success,4,
756,8.133627594293145,success,4,
757,7.836726648499908,success,4,
758,6.9567123930347545,success,5,
759,7.933437020908768,success,4,
760,7.52685310949849,success,4,
761,7.985835778813384,success,4,
762,8.0525194399457,success,5,
763,6.896525795544976,success,5,
764,7.767071813213519,success,4,
765,7.544118337517042,success,4,
766,8.533006923081555,success,4,
767,7.33349895096964,success,5,
768,7.257801510271625,success,4,
769,8.530322193823988,success,4,
770,7.414200555996673,success,4,
771,8.327511919719875,success,4,
772,7.816543131534328,success,5,
773,7.563240494581761,success,4,
774,7.170640267204331,success,5,
775,7.962678904615265,success,4,
776,7.519396171956356,success,4,
777,7.299709509034487,success,4,
778,7.026774244895269,success,4,
779,8.199644447104038,success,4,
780,8.482812857664896,success,4,
781,7.456270163698065,success,4,
782,7.124292851865274,success,5,
783,7.280282950820311,success,4,
784,6.695628196932793,success,4,
785,8.28377535234425,success,5,
786,7.9453204366432155,success,4,
787,8.185863198860801,success,4,
788,8.419344964548685,success,4,
789,7.892494027549393,success,4,
790,7.574783974815922,success,4,
791,8.355579440234392,success,5,
792,7.753265676717533,success,4,
793,6.955351163901081,success,4,
794,7.205399540081328,success,5,
795,6.788382724769953,success,5,
796,7.015535198601802,success,4,
797,7.571966058279724,success,4,
798,7.987920049231361,success,4,
799,7.786128209377702,success,5,
800,6.476394677945115,success,5,
801,7.817468857080369,success,4,
802,7.729524750425525,success,5,
803,7.707650182323566,success,4,
