trajectory_id,noise_type,f_carrier_hz,sigma_y_ref,trajectory_index,seed,tau_seconds,allan_deviation
random_walk_FM_t0380_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,380,2026301379,4,2.0694345625984882e-09
random_walk_FM_t0380_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,380,2026301379,8,2.6115099988623374e-09
random_walk_FM_t0380_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,380,2026301379,16,3.3572653188226223e-09
random_walk_FM_t0380_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,380,2026301379,32,3.5105762550757342e-09
random_walk_FM_t0381_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,381,2026301380,1,1.00700202066512e-09
random_walk_FM_t0381_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,381,2026301380,2,1.3343822138899033e-09
random_walk_FM_t0381_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,381,2026301380,4,2.0570350835789712e-09
random_walk_FM_t0381_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,381,2026301380,8,3.162026916768635e-09
random_walk_FM_t0381_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,381,2026301380,16,4.517443007209337e-09
random_walk_FM_t0381_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,381,2026301380,32,3.6047337039471344e-09
random_walk_FM_t0382_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,382,2026301381,1,9.987972096000936e-10
random_walk_FM_t0382_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,382,2026301381,2,1.227127626465481e-09
random_walk_FM_t0382_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,382,2026301381,4,1.6361902049087544e-09
random_walk_FM_t0382_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,382,2026301381,8,2.480314844940448e-09
random_walk_FM_t0382_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,382,2026301381,16,3.5589271455605743e-09
random_walk_FM_t0382_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,382,2026301381,32,5.098365831414968e-09
random_walk_FM_t0383_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,383,2026301382,1,9.854696190639472e-10
random_walk_FM_t0383_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,383,2026301382,2,1.1712555719261495e-09
random_walk_FM_t0383_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,383,2026301382,4,1.603341165588495e-09
random_walk_FM_t0383_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,383,2026301382,8,2.027759197541768e-09
random_walk_FM_t0383_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,383,2026301382,16,2.8174984172409397e-09
random_walk_FM_t0383_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,383,2026301382,32,4.306189813985018e-09
random_walk_FM_t0384_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,384,2026301383,1,1.0367848553391623e-09
random_walk_FM_t0384_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,384,2026301383,2,1.3971792768098138e-09
random_walk_FM_t0384_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,384,2026301383,4,2.0859872713267967e-09
random_walk_FM_t0384_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,384,2026301383,8,3.2558360640794286e-09
random_walk_FM_t0384_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,384,2026301383,16,4.3432517833151165e-09
random_walk_FM_t0384_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,384,2026301383,32,3.9282540916917926e-09
random_walk_FM_t0385_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,385,2026301384,1,1.0141794495328253e-09
random_walk_FM_t0385_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,385,2026301384,2,1.3050707241018235e-09
random_walk_FM_t0385_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,385,2026301384,4,1.8189815058343575e-09
random_walk_FM_t0385_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,385,2026301384,8,2.3448874146934377e-09
random_walk_FM_t0385_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,385,2026301384,16,3.755759823258894e-09
