noise_type,f_carrier_hz,sigma_y_ref,n,descriptor,mean,std,median,p05,p25,p75,p95
white_FM,14000000.0,1e-09,500,residual_max_abs_frequency_hz,0.038567304905544136,0.005585214111918161,0.03784818991666941,0.030998934070314732,0.034473240480829746,0.041813701400770224,0.04854865052672689
white_FM,14000000.0,1e-09,500,residual_peak_to_peak_hz,0.0710045021960456,0.00844790701621687,0.07040988972299594,0.058671237350544476,0.06485205915473888,0.07626258069475388,0.08626107012433469
white_FM,14000000.0,1e-09,500,max_abs_phase_rad,0.5629989043469064,0.13808305780104588,0.549477692925796,0.3618834451648471,0.46708199656571464,0.6448640839425148,0.8136905446418274
white_FM,14000000.0,1e-09,500,phase_rms_rad,0.23602448647790475,0.07096712987889499,0.22601652147085236,0.14086634204286935,0.18796131078359296,0.27183916191457164,0.3691998768468457
white_FM,14000000.0,1e-09,500,fitted_constant_hz,-5.5115909961410764e-05,0.001525014602934619,-2.6657551309239274e-05,-0.002536627698461306,-0.0010580473730158557,0.0009189563998465278,0.002369219819134966
white_FM,14000000.0,1e-09,500,fitted_linear_coefficient,-8.857095336291405e-05,0.0023752142500088388,-3.948974412143182e-05,-0.004135639400044756,-0.0017279157681578726,0.0017485184863617993,0.0035228580610028527
white_FM,14000000.0,3e-09,500,frequency_rms_hz,0.041880421264733465,0.0030045114009472494,0.04171359061962305,0.037201929384334434,0.03983876347557154,0.04383815382652023,0.0468542992276247
white_FM,14000000.0,3e-09,500,max_abs_frequency_hz,0.11677110207936935,0.01629137567018386,0.11506463770399697,0.0933576709414229,0.10485860154879453,0.12614147549278884,0.14720317544687123
white_FM,14000000.0,3e-09,500,peak_to_peak_hz,0.21400292573845026,0.025223250857714933,0.21207528742998805,0.17677438955912483,0.1961293875817282,0.2299405929634874,0.2608619382075776
white_FM,14000000.0,3e-09,500,residual_frequency_rms_hz,0.041427869789237626,0.0029807549446179233,0.041173356082434984,0.03689520604556951,0.03946501259270736,0.04337953992799917,0.04660672126471828
white_FM,14000000.0,3e-09,500,residual_max_abs_frequency_hz,0.1157019147166324,0.016755642335754484,0.11354456975000823,0.09299680221094418,0.1034197214424892,0.12544110420231067,0.14564595158018065
white_FM,14000000.0,3e-09,500,residual_peak_to_peak_hz,0.21301350658813675,0.025343721048650604,0.2112296691689878,0.1760137120516334,0.19455617746421658,0.22878774208426156,0.258783210373004
white_FM,14000000.0,3e-09,500,max_abs_phase_rad,1.6889967130407189,0.4142491734031376,1.6484330787773886,1.0856503354945413,1.401245989697144,1.934592251827545,2.441071633925482
white_FM,14000000.0,3e-09,500,phase_rms_rad,0.7080734594337141,0.21290138963668495,0.6780495644125569,0.42259902612860795,0.5638839323507787,0.8155174857437146,1.107599630540537
white_FM,14000000.0,3e-09,500,fitted_constant_hz,-0.0001653477298842323,0.004575043808803856,-7.997265392771768e-05,-0.007609883095383913,-0.0031741421190475665,0.0027568691995395835,0.0071076594574048975
white_FM,14000000.0,3e-09,500,fitted_linear_coefficient,-0.00026571286008874207,0.0071256427500265155,-0.0001184692323642947,-0.012406918200134266,-0.005183747304473617,0.0052455554590853945,0.010568574183008557
white_FM,14000000.0,1e-08,500,frequency_rms_hz,0.1396014042157782,0.010015038003157499,0.13904530206541016,0.12400643128111477,0.13279587825190514,0.1461271794217341,0.15618099742541572
white_FM,14000000.0,1e-08,500,max_abs_frequency_hz,0.3892370069312312,0.05430458556727954,0.38354879234665656,0.3111922364714097,0.3495286718293152,0.4204715849759628,0.4906772514895708
white_FM,14000000.0,1e-08,500,peak_to_peak_hz,0.7133430857948342,0.08407750285904977,0.7069176247666269,0.5892479651970829,0.6537646252724274,0.7664686432116247,0.8695397940252587
